Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
HCF MANAGEMENT,251,22,2,0,0,1,4.5,100,0,0,3.4,3.4,2.7,3.3,3.6,3.1,0.8,54.7,44,0.9,23,1,180004.23,8182.01,2,0.1,24.2,12.7,1.5,4.1,73,61.7,68.5,1.4,1.11,17.2,3.9,7.4,1.5,0.5,15.9,13.8,93.7,89.7,0.1,48.6,5.4,3.6,23.7,10.3,39,6.6
HCF MANAGEMENT INDIANA,252,13,1,0,0,0,0,23.1,15.4,61.5,3.5,3.8,2.2,3.2,3.7,3,0.5,40.7,36.2,0.3,8,0.6,63002.97,4846.38,0,0,22.3,12.2,1.5,3.5,72.6,87.7,89.1,1.95,1.61,7.6,5.9,7.8,4.8,0.5,14.5,22.7,99.3,98,0.3,43,4.8,31.8,24.5,10.5,57.2,0.4
HCR MANORCARE,253,42,8,0,1,2,4.8,40.5,59.5,0,2.5,2.5,2.6,3.8,3.6,3.3,0.7,59.1,63.3,1.4,106,2.5,1259999.55,29999.99,5,0.1,26.3,11.4,1.3,2.1,75.7,79.3,78.2,2.1,0.99,11.6,2.3,10,1.3,0.9,17.7,13.3,94.8,91.7,0,51.6,5.8,3.7,15.7,11,36.7,20.6
HEALTH CARE MANAGEMENT GROUP,254,7,2,0,0,0,0,100,0,0,3.4,3.4,2.1,3.4,3.6,3,0.5,50.3,32.3,0.6,9,1.3,76095.03,10870.72,0,0,25.3,11.3,1.7,3.6,73.5,75.8,81.7,2.09,1.1,22.3,4.6,5,0.3,0.3,10.1,17.6,97.1,89.7,0,57.5,9,19.4,24.9,10.3,33.2,13.7
"HEALTH CONCEPTS, LTD.",255,5,1,0,0,0,0,100,0,0,4.2,4.4,2.6,2.8,3.3,2.9,0.7,53.3,46.3,0.3,1,0.2,7900.75,1580.15,0,0,22.7,19.8,1.9,5.9,82.9,82.2,85.2,1.1,1.14,21,5.2,6.1,2.8,1.2,19.4,18.1,96.6,93.1,0.3,44.5,3.8,1,12.1,10.2,58.4,19.2
"HEALTH SCHOLARSHIPS, INC.",256,38,1,0,0,3,7.9,0,100,0,3.3,3.3,2.7,2.9,3.6,3.1,0.5,49.4,40.3,0.6,19,0.5,289059.2,7606.82,1,0,22.7,11.7,2,3.3,75.4,80.6,80.6,1.79,0.87,21.5,3.9,10.4,3.3,0.9,20.1,18.6,96.8,94.8,0.1,37.2,6.4,1.9,21.6,10.4,54.7,0.8
HEALTH SERVICES MANAGEMENT,257,15,2,0,0,3,20,33.3,53.3,13.3,2.3,2.7,2.1,3.3,3.5,3.2,0.5,,,,22,1.5,560600.77,37373.38,3,0.2,26.1,9.1,1.5,2.2,63.9,68.4,74.5,2.13,1.14,9,2.7,8.1,1.5,1,19.5,16.2,96,84.3,0,54.5,5.1,1.3,22.9,10.5,25.2,11.3
"HEALTH SYSTEMS FACILITIES, INC.",258,7,1,0,0,0,0,0,100,0,2.7,3.4,2.7,2,3.4,2.9,0.4,46.9,43.8,0.1,3,0.4,25514.32,3644.9,0,0,23.4,11.7,5.1,6.5,68.3,73.3,71.4,2.27,1.28,26.5,2.6,10.5,2.6,1.1,18,19.5,96.3,90.7,0,40.6,5,3.1,24.1,10.6,62.1,1.4
"HEALTHCARE ACCOUNTING SERVICES, LLC",259,5,2,0,0,3,60,100,0,0,1.4,2,1.4,2.4,2.7,2.4,0.4,49.9,49.7,1.4,28,5.6,970648.39,194129.68,6,1.2,23.4,18.3,0.2,2,55.4,18.6,26.2,2.01,1.24,20.1,1.3,7.2,0.9,4.6,23.4,18.8,75.9,74.6,0,26.5,2.8,19.4,18.7,11.1,73.5,66.3
HEALTHCARE OF IOWA,260,9,1,0,0,1,11.1,66.7,33.3,0,2.8,2.8,3.2,3,3.3,2.8,0.7,60.9,47,0.3,43,4.8,395514.23,43946.03,0,0,19.8,16,0.9,3.1,77.4,81.4,90.6,1.54,1.51,11.3,5.8,9.2,1.7,0.7,13.4,20,90.1,95.6,0.2,29.1,5.4,2.7,13.5,9.8,68.1,8.1
"HEALTHPEAK PROPERTIES, INC.",261,15,6,0,0,1,6.7,100,0,0,3.3,2.9,3.8,3.7,4.6,4.1,1,52.4,52.6,0.6,22,1.5,425103.1,28340.21,0,0,26.4,10.4,1.2,2.6,79.4,89.9,94.4,2.29,0.83,9.7,1.9,12.1,2.8,1.9,20.8,14.6,97,98.2,0,76.4,6,5.6,17.5,10.8,35.7,15.6
HEARTHSTONE SENIOR COMMUNITIES,262,8,1,0,1,1,12.5,12.5,87.5,0,2.9,2.8,2.4,3.6,3.1,3,0.5,44.6,50.6,0.9,5,0.6,252165.64,31520.71,0,0,25.1,10.9,2.9,1.1,83.4,95,99,1.86,0.92,8.6,2.4,7.8,0.1,0.1,8.2,7.4,98,99.9,0,27.2,5.7,1.8,30.3,10.9,28.7,17.2
HELIA HEALTHCARE,263,13,2,0,0,4,30.8,100,0,0,2.2,2.6,1.7,2.8,2.8,2.5,0.6,60.5,43.4,0.6,16,1.2,623618.33,47970.64,10,0.8,23.7,18.6,1.6,1.9,68.6,81,78.9,2.14,1.83,10.1,3.6,7.9,1.1,0.9,17,12.7,94.6,90.4,0.5,57.5,5.8,21.5,22.3,12.1,18.3,4
HERITAGE HALL,265,16,1,0,0,0,0,100,0,0,2.9,3.6,1.3,3.1,3.4,2.6,0.4,100,100,1.4,12,0.8,159427.81,9964.24,0,0,20.4,15.3,1.2,2.3,69.8,76.9,85.4,1.47,1.54,11.5,3.3,6.6,2.4,0.6,18.8,17,97.1,96.5,0,45.3,5.8,1.8,19.1,11,44.7,13.6
HERITAGE MINISTRIES,266,5,3,0,0,0,0,20,80,0,2,2.4,1.6,4,2.8,2.5,0.5,46.7,51.1,1,18,3.6,171252.47,34250.49,1,0.2,15.9,12.1,1.3,4.4,77.3,73.4,62.1,0.9,0.33,15.2,4.3,6,2.9,1.6,24.6,17.8,91,84.3,0,63.2,7.7,2.1,16.9,9.6,35.5,17.8
HERITAGE OPERATIONS GROUP,651,9,1,0,0,0,0,22.2,66.7,11.1,3.3,3.3,2.7,2.9,3.5,3.1,0.5,53.2,47.4,0.7,31,3.4,520777.51,57864.17,8,0.9,22.8,20,1.3,2.2,70.2,68.5,82.8,2.25,1.66,13.1,3.7,6.8,3.2,1.7,17.1,15.1,92.2,90.7,0.7,58.5,10.1,4.7,18.6,9.6,48.5,3.4
HICKORY CREEK HEALTHCARE FOUNDATION,268,13,1,0,0,0,0,61.5,30.8,7.7,3.2,3.5,1.6,3.9,3.3,2.8,0.5,62.4,62.2,0.5,11,0.8,87073.35,6697.95,1,0.1,28.2,16.8,0.6,6.6,87.9,79.7,70.6,1.74,1.77,9.2,3.2,9.3,1.7,0.7,6.1,13.2,98,89.5,0.2,52,5.1,20.8,27.1,10.8,45.9,6.1
HIGHBRIDGE HEALTHCARE,269,2,2,0,0,0,0,100,0,0,3.5,3.5,2.5,4,3.4,2.9,0.5,98.1,88.9,0,0,0,0,0,0,0,23.2,7.9,3.5,3.1,86.4,94.6,95.3,1.54,0.79,18.5,3,9.8,0.2,1.4,6.4,9.4,98.7,99.7,0,37.3,4.6,7.2,18.4,8.8,48,0
HILL VALLEY HEALTHCARE,270,36,6,1,0,4,11.1,83.3,16.7,0,1.8,1.9,1.7,3.1,3.2,2.8,0.5,64.7,62.5,1.7,68,1.9,1893289.55,52591.38,3,0.1,21,13.5,1.7,2.2,72.9,65.8,61,1.62,1.06,15.5,3.5,8.6,1.6,0.7,23.7,20,93,84.2,0,54.6,8.8,6.8,16.6,10.6,39.5,2.8
HILLSTONE HEALTHCARE,271,17,1,0,1,1,5.9,100,0,0,1.8,2,1.4,3.1,3.1,2.9,0.5,58.2,59.8,0.5,70,4.1,1068248.02,62838.12,14,0.8,20.8,16.7,3.3,6.1,43.6,38.4,38.4,1.73,1.57,16.6,3.6,7.2,4.2,0.8,17.4,18.4,81.3,75.3,0.1,31.4,6.1,33.3,30.7,10.9,30.9,6.4
HMG HEALTHCARE,272,36,2,0,2,3,8.3,83.3,0,16.7,2.8,2.9,1.3,4.3,3.2,2.8,0.3,63.1,62.9,0.7,74,2.1,1635279.45,45424.43,8,0.2,22.8,12.5,0.6,1.1,69.2,89.1,95,2.09,1.23,6.2,2.3,5,0.1,0.9,9.4,12.3,98.3,99.5,0,64.2,2.4,4,16,11.1,20.4,20.9
HOMEWOOD RETIREMENT CENTERS,273,4,2,0,0,1,25,0,100,0,3,2.8,3.8,4.3,4.4,3.8,0.8,48.8,38.8,0,5,1.3,111063.93,27765.98,0,0,17.7,10.3,1.1,2.9,77.5,88.4,83.1,1.16,0.49,19.1,5.1,7.3,5.6,1.3,20.6,15.1,96.7,92.1,0,62.6,8.6,0.2,21.1,10.2,57,6.4
HUMANGOOD,274,17,7,0,0,0,0,5.9,94.1,0,3.9,3.4,4.5,4.1,5.1,4.5,0.9,46.9,49.8,0.3,13,0.8,205735.8,12102.11,0,0,22.2,10.7,1.1,3.2,77.4,90.5,92.8,1.63,1.03,10.6,3.5,8.1,3.4,0.8,16,13.4,94.1,97,0,62.2,7.8,8.2,11.6,10.4,54,15.4
HUNTSVILLE HOSPITAL HEALTH SYSTEM,610,3,2,0,0,0,0,0,33.3,66.7,2.7,2.3,3.3,3,4,3.5,0.8,46.7,45.2,0,7,2.3,17186.54,5728.85,0,0,17.5,22.2,1.1,2.6,84.4,94,95.9,2.02,2.54,11.4,4.1,10.9,3.2,1.4,23.8,21.4,98.6,96.9,0,57.4,8.2,0.9,30,10.8,44,0.8
HURLBUT CARE,275,13,1,1,0,0,0,100,0,0,3.3,3.4,1.8,3.4,3.5,2.9,0.5,52.2,55.3,1.4,7,0.5,115851.56,8275.11,0,0,13.2,9.9,1,3.2,66.7,64,66.6,1.12,0.75,14.3,3.7,8.2,3.4,0.9,22.1,19.2,92.9,85.4,0,68.3,8.3,3.2,6.6,10.5,69.9,23.2
HYATT FAMILY FACILITIES,276,5,1,0,0,0,0,100,0,0,3,2.6,3,4.4,4.1,3.5,0.8,57.5,60.7,0.3,17,3.4,161996.31,32399.26,1,0.2,17.3,14.3,0.9,1.9,81.9,84.1,87.5,1.01,0.88,16.3,2.9,8,4.8,1.8,10.8,9.5,98.4,98.1,0,63.3,10.3,13.9,13,9.9,47.4,3.1
ICARE HEALTH NETWORK,277,11,2,0,0,3,27.3,100,0,0,3.3,2.8,2.7,4.4,3.3,3,0.5,36.2,52.2,0.7,6,0.5,310552.55,28232.05,0,0,24.1,12.7,1.4,2,85,67,83.7,1.9,0.92,14.1,2.2,6.8,0.9,0.8,14.3,15.3,95.4,97.2,0,23,3.9,11.3,27.6,10.3,61.2,3.5
IDE MANAGEMENT GROUP,278,10,1,0,0,0,0,70,10,20,2.9,3,1.4,4,3.2,2.8,0.6,65.5,66.7,0.9,20,2,220061,22006.1,4,0.4,18.8,9.9,0.5,2.3,71.7,76.9,72,1.53,0.96,14.6,4.2,6,2.2,0.5,18.2,14.4,94.5,89.5,0,55.6,4.6,17.1,25.9,10,60.4,8.1
IGNITE MEDICAL RESORTS,279,17,7,0,1,1,5.9,100,0,0,2.8,2.6,2.2,4,3.8,3.4,0.6,63,55.4,0.6,33,1.9,726582.81,42740.17,4,0.2,24.4,11.8,0.9,2.1,80.4,73.7,75.6,1.76,1.55,11.6,3.9,11.1,2.5,1,20.7,14.3,84.9,93.2,0,53.9,5.9,16.6,20.5,11.7,50.8,59.4
IHS MANAGEMENT CONSULTANTS,280,5,1,0,0,0,0,100,0,0,2.4,2.4,1.8,2.4,3,2.7,0.3,59.2,54.2,0.6,6,1.2,45183.37,9036.67,1,0.2,28.1,12,2.2,5.7,70.9,49.4,71.6,1.91,1.48,17.2,4.1,10.3,2.8,3.1,12.5,12.3,90.3,81.8,0,34.9,2.5,0.9,21.6,10.6,14.3,4.4
IMMANUEL,281,3,2,0,0,0,0,0,100,0,4.3,3.7,4.7,5,5.3,4.8,1.5,57,44.3,0.7,4,1.3,98834,32944.67,0,0,15.6,6.6,1.9,2.6,86.9,73.2,86.3,1.73,0.49,15,1.9,5.1,1.4,0.5,15.8,11.6,97.7,98.6,0,67.2,3.4,6.4,9.4,9,77.5,32.2
IMPERIAL HEALTHCARE GROUP,282,13,1,0,1,1,7.7,100,0,0,1.9,2.2,1.5,3.2,3.5,3.2,0.5,63.8,62.8,0.8,32,2.5,241106.41,18546.65,1,0.1,23.2,10.9,1.2,3,79.7,60.2,59.2,2.58,1.14,15.8,2.7,8.6,1.7,1,20.5,20.4,89.3,79.4,0,53.6,7.4,5,19.1,9.9,48.2,18.5
INFINITE CARE,578,19,3,0,0,0,0,100,0,0,2.9,2.8,2.8,3.8,3.5,3.2,0.6,47.2,49.7,1,32,1.7,405493.09,21341.74,1,0.1,24.9,10.2,1.6,2.8,77.9,73,72.8,2.11,0.94,9.7,3,8.2,1.1,1.2,12.8,11.8,95.9,86.8,0,53.9,7.1,7.9,16.4,11.4,32.1,4.7
INFINITY HEALTHCARE MANAGEMENT,283,58,5,1,3,14,24.1,91.4,5.2,3.4,1.8,2.1,1.3,3.6,3.1,2.7,0.4,60.8,59.7,0.9,288,5,10116169.4,174416.71,36,0.6,24.6,13.8,2.5,2.2,79.7,52.4,54,2.04,1.5,15.9,3.2,7.7,1.3,0.7,6.5,6.7,89.2,75.9,0.1,52.5,6.9,47.3,25.1,10.5,37.3,11.1
INGLESIDE ENGAGED LIVING,284,3,3,0,0,0,0,0,100,0,4.3,4,4.7,4.3,5.2,4.7,1.5,37.4,51.5,0,10,3.3,14135.8,4711.93,0,0,24.4,10,2,2.9,76.3,84.4,76.7,0.48,0.16,11.4,1.7,13.9,1.8,0.5,23.3,22.6,97.3,89.6,0,70,7.1,3.7,17.5,11.1,80.2,9.1
INNOVATIVE HEALTHCARE MANAGEMENT,285,6,1,0,1,0,0,100,0,0,1.7,1.7,1.2,3.3,3.3,2.8,0.5,70.5,67.3,0.3,26,4.3,266139.79,44356.63,2,0.3,19.7,9.9,2.4,3.2,75.6,60,62.2,1.6,1,17.5,2.4,10.5,0.9,0.4,14.4,20.7,91.8,89,0,63.5,8.7,17.5,18,9.7,41.8,5.7
INSPIRED HEALTHCARE MANAGEMENT,286,6,1,0,0,1,16.7,83.3,0,16.7,1.5,2.7,1.5,1.7,3.5,3.1,0.2,61.1,44.2,0.8,4,0.7,22150,3691.67,0,0,31.6,15.4,2.5,2.9,52.1,58,62.5,2.36,1.83,16.5,4.8,10,2.8,2,14.7,23.7,90.5,80.7,0,70.2,5.8,0,22.8,11.9,47.3,9.3
INTEGRITUS HEALTHCARE,603,15,1,0,0,3,20,6.7,93.3,0,2.5,2.3,2.5,3.6,3.5,3,0.5,54.9,53.8,0.6,47,3.1,1353091.35,90206.09,2,0.1,22.5,11.8,1.3,1.6,79.7,73.6,79,1.61,1.04,19.1,2.8,5.8,1.7,1.1,20.2,17.3,92.3,94.1,0,58.4,5.7,2.9,17,10.4,54.8,38.7
INTEGRITY HEALTHCARE COMMUNITIES,652,5,1,0,0,0,0,100,0,0,3.8,4,1.8,3.2,3.1,2.7,0.5,57.8,58.2,0.2,1,0.2,1625,325,0,0,23.7,23.9,1.3,0.4,44,56.9,34.7,2,2.4,10.6,3.5,2.9,1.6,0.7,14.1,14.1,96.9,88,0.2,49.5,3.7,37.2,27.2,10.7,16.7,24.5
JAG HEALTHCARE,289,9,1,0,0,0,0,100,0,0,3.3,3.3,1.7,4.4,3.1,2.7,0.5,43.1,38.7,0.2,18,2,123484.01,13720.45,3,0.3,,,,,,75.7,75.6,1.41,1.08,31.5,4.5,3.9,1.5,0,9.7,11.5,98.3,93.5,0.1,26.4,7.7,39.9,40.1,10.8,53.8,3.6
JAMES & JUDY LINCOLN,290,72,2,0,1,8,11.1,100,0,0,2.5,2.8,2.1,2.7,3.2,2.8,0.4,57.3,55.2,1,57,0.8,1638126.76,22751.76,17,0.2,26.1,16.6,2.7,3.4,56.9,57.2,63,1.9,1.18,24.9,4,8,5,1.6,14.3,14.8,94.5,83.6,0.1,30.6,5.4,4.6,30.3,10.6,47,5.8
JANET & BRENDA MANDELBAUM,291,16,1,0,0,1,6.3,100,0,0,3.8,3.4,3.6,4.3,4.7,4.2,0.5,40.8,40.5,0.5,23,1.4,56581.93,3536.37,0,0,23,8.2,2,1.3,85.2,96.7,98.7,2.35,0.61,10.5,1.1,7.2,0.6,2,10.9,7.7,99.3,99.7,0.5,25.2,4.7,2.6,16,13.7,52,17.6
JONATHAN BLEIER & YAAKOV SOD,293,17,4,0,1,4,23.5,100,0,0,1.8,1.8,1.9,3.6,3.5,3,0.5,51.8,55.5,0.5,34,2,521503.91,30676.7,0,0,25.4,11,1.3,1.8,77.3,78.1,81,1.73,1.01,14,2.2,6.6,1.3,0.6,13.8,13.6,95.4,91.6,0,46,6.7,2,18.1,10.3,52.4,21.8
JPH CONSULTING,294,4,2,0,0,1,25,100,0,0,2.5,2.8,2,3.5,3.4,3.2,0.4,53.5,63.2,,96,24,526212.04,131553.01,0,0,19,6.4,1.9,1.4,62,61.5,54,2.82,0.49,15.7,0.4,6.3,1.9,1.6,15.3,18.2,93.7,88.2,0,40.7,4.5,1.3,12.2,10.3,80.4,42.5
JUCKETTE FAMILY HOMES,295,6,1,0,0,0,0,100,0,0,2,2.7,1.3,2.3,3.4,3,0.2,59.8,80,1,14,2.3,150610.08,25101.68,3,0.5,19.8,16.2,2.5,3.9,79.3,69.7,86.4,2.16,2,21.3,5.5,5.4,4.6,1.8,17.9,15.5,96.7,96.3,0,36.6,6.7,4.7,23.8,10.7,64.7,2.3
KADIMA HEALTHCARE GROUP,296,6,1,0,0,0,0,100,0,0,1.2,1.3,1.5,2.3,3.4,3.2,0.6,68.1,71.3,1.3,26,4.3,409209.81,68201.64,3,0.5,30.4,6.7,2,0.3,68.9,36.9,41.8,1.87,1.48,19.4,3.4,7.7,2.3,1.6,25.3,20.6,92.9,73.7,0,49.9,6.3,2.4,15.4,10.4,52.7,1.8
KALESTA HEALTHCARE GROUP,297,6,1,0,0,0,0,100,0,0,2.3,1.8,3.3,4.3,4.2,3.7,0.4,49.8,48,0,23,3.8,169280.29,28213.38,1,0.2,22.3,17,1.3,0.7,87.5,96,97,1.97,1.38,11.7,1.8,6.1,1.4,1,12.9,7.5,99.3,99.7,0,46.8,4.8,1.5,14.5,10.2,26.2,8
KENDAL,653,8,5,0,0,0,0,0,100,0,4.9,4.6,4.3,3.7,5.1,4.6,1.2,37.9,39.8,0.2,10,1.3,23946.97,2993.37,0,0,19.5,13.6,0.8,2.4,75.6,88.4,89.5,1.4,0.78,16.3,3.8,5.6,3.8,0.9,18.8,13.6,99.4,97.2,0,70.3,3.8,4.1,16.7,10.1,84.1,9.4
KINDRED HEALTHCARE,300,4,4,0,0,0,0,100,0,0,3.3,3,4,3,7.1,6.1,1.8,31.6,29.3,0.5,8,2,18452.4,4613.1,0,0,20.3,11.2,0.9,1.7,82.9,96.3,94.6,1.09,0.69,19.9,0.2,32.9,8,6.7,19.9,17.7,99.6,99.8,0.5,,6.3,1.9,50.2,10.7,59.7,11.9
KINGSTON HEALTHCARE,301,6,2,0,0,0,0,100,0,0,4,3.2,3.2,5,4.3,3.8,0.8,54.5,51.1,0.8,3,0.5,32149,5358.17,0,0,21.3,10.6,0.8,3.5,80.1,78.6,81.4,1.28,0.85,9.2,2,12.6,0.9,0.4,13.2,10.2,93.2,92.6,0,61.6,7.9,3.8,21.1,10.6,3,36.6
KISCO SENIOR LIVING,585,2,2,0,0,0,0,100,0,0,3.5,4,3,2,7.3,6.5,1.7,43.9,50,1,1,0.5,7900.75,3950.38,0,0,30.1,18.5,3.8,4,78,88.7,98.6,1.68,1.14,37,13.8,15.2,1.9,3.6,22,5.8,98.5,96.3,0,,9.5,2,29.3,9.7,34.4,1.1
KISSITO HEALTHCARE,302,7,2,0,0,0,0,0,100,0,4,4.1,2.9,3.4,4.1,3.5,0.8,45.8,36.3,0.4,3,0.4,24597.3,3513.9,0,0,20.6,19.2,1.2,2.1,72.6,70.4,74.1,2.14,2.01,14.2,4,11.3,1.8,0.6,10.5,11.4,94.5,91.6,0,48.1,6.1,2.6,27.1,10.7,55.6,2.9
KPC PROMISE HEALTHCARE,303,4,3,0,0,0,0,100,0,0,2.8,2.5,3.3,3.5,4.5,4,0.8,38.2,35.8,0.3,16,4,233792.06,58448.02,2,0.5,29.1,14.4,1.3,1.6,79.4,79.9,80.7,1.44,0.94,5.9,3.5,10.7,3.3,4,17.2,13.3,93,90.1,0,40.5,6.9,16.9,35.5,10.3,63,59.7
KR MANAGEMENT,667,5,1,0,1,1,20,100,0,0,3.6,2.8,3.6,4.8,4.3,3.7,0.8,56.5,57.2,0.8,3,0.6,192264.8,38452.96,0,0,25.3,9.7,0.3,2.9,84.7,88.4,96.2,1.81,0.56,9.6,1.8,4.9,1.7,0.2,14.5,11.8,99.2,99,0.3,48.2,4.8,2.9,17.2,10.3,38,1.8
LANTIS ENTERPRISES,304,6,3,0,1,1,16.7,100,0,0,2,2.3,1.8,2.7,2.9,2.5,0.5,64.9,76.1,0.4,7,1.2,195601.25,32600.21,2,0.3,12.3,11.6,5.9,3.8,82.9,75.2,63.2,1.68,1.33,21.6,3,8.3,2.2,2.6,17.3,13.6,96.9,88.6,0.3,42.2,7.9,6.2,19.8,9.8,39.8,1.7
LEGACY HEALTH SERVICES,305,19,1,0,0,0,0,63.2,36.8,0,2.9,3,1.7,4.1,3.5,3,0.7,73.7,74,1.2,29,1.5,386435.74,20338.72,4,0.2,24.9,12,1.2,1.5,71.7,79.7,85.6,1.77,1.28,7.5,3.2,6.5,0.9,0.4,13.6,11.5,93.9,95.6,0,47.9,5.9,24,17.6,10.3,39,12.8
LEGACY HEALTHCARE,306,55,3,0,1,9,16.4,94.5,5.5,0,2.5,2.5,2.5,3.2,3.3,2.9,0.8,53.6,43.1,0.9,207,3.8,4876263.96,88659.34,35,0.6,25.6,13.3,2.3,1.6,81.6,53.8,62.5,1.89,1.17,18.3,3,9.9,1.8,1.6,14.2,10.8,87.8,83.8,0.2,45.5,7.7,55.3,14.7,10.8,51.3,13.7
LEGACY NURSING & REHABILITATION,307,8,2,0,0,0,0,100,0,0,2.1,2.5,1.9,2.8,3.4,2.9,0.2,46.6,34.3,1,30,3.8,488806.11,61100.76,1,0.1,25.5,15.1,3.9,3.7,81.7,53,88.6,2.56,1.96,8.5,2,10.8,1,0.9,7,17,84,96.8,0,43.5,5.2,4.4,22.8,11.6,26.9,23.6
LEXINGTON HEALTH MANAGEMENT,309,16,5,1,2,3,18.8,100,0,0,2.1,2.1,2.1,3.4,3.9,3.4,0.5,59.4,57.3,1.3,32,2,1964110.36,122756.9,7,0.4,22.9,15,2,2.6,83.6,66.3,71.6,1.79,1.34,12.7,3.1,9.1,1.2,0.8,17,15.6,91.9,85.7,0.2,44.9,6.2,15.5,21.7,10.9,42.2,3.8
LIBERTY SENIOR LIVING,310,34,2,0,2,4,11.8,100,0,0,2.1,2.6,1.8,2.4,3.4,3,0.4,58.2,48.5,0.9,53,1.6,1465639.81,43107.05,12,0.4,22.4,18.1,1.6,4.5,75.3,80.8,85.5,1.9,1.48,13.7,3.6,12.4,5.7,2.5,20.5,22.3,94.8,92.5,0,64.9,7.4,3.8,18.1,10.5,38.3,11.3
LIFE CARE CENTERS OF AMERICA,311,200,29,1,4,17,8.5,95.5,1,3.5,3.1,2.9,3.1,3.8,3.7,3.2,0.7,48.2,48.4,0.8,260,1.3,5700934.13,28504.67,17,0.1,21.8,12.6,1.5,2.6,79.1,80.7,86.2,1.75,1.06,13,3.2,8.5,1.6,1.1,18.1,14.2,94.3,94.8,0,54.1,6.1,5.7,19.6,10.4,38,9.6
LIFE CARE SERVICES,312,24,15,0,0,0,0,79.2,20.8,0,4.2,3.9,4,4.4,4.7,4.2,1,52.9,48.9,0.2,31,1.3,201490.08,8395.42,2,0.1,21.9,8.8,0.9,2.2,82.2,82.8,87.6,1.65,0.72,12.3,4.6,7.1,2.2,1,17.6,14.2,93.9,95,0,60.2,5.2,3.4,15.2,10.5,47.4,9
LIFEBRITE HOSPITAL GROUP,654,2,2,0,0,1,50,100,0,0,2,2,2.5,3,2.7,2.3,0.6,44.8,44.4,2,3,1.5,272515,136257.5,0,0,,,,,,72.7,86.3,1.72,0.91,19.1,4.5,6.3,4.2,1.4,10.4,19.4,97.3,94.9,0,18.9,5.5,0.8,25.6,,49.6,1.2
LIFEPOINT HOSPITALS,314,11,7,0,0,0,0,90.9,0,9.1,3.9,3.7,3.5,3.6,6.1,5.4,2.8,34.4,30.2,0.5,24,2.2,81657.82,7423.44,1,0.1,23.4,17.6,1.7,2.6,72.6,88.3,87.4,1.34,1.01,14.6,2.7,10.5,4.6,0.5,22.5,17.4,98.5,98,0,51,5.9,3.4,17.7,10.2,28.6,12.8
LIFESPACE COMMUNITIES,315,14,7,0,0,0,0,7.1,92.9,0,4.2,3.5,4.5,4.5,4.6,4,1.3,45.3,40.9,0.5,26,1.9,79343.97,5667.43,0,0,23.5,9.9,1.7,1.4,82.1,82.7,80.9,1.5,0.71,11.5,4.1,6.9,2.4,1.9,14,9.7,96.3,94.3,0,62.1,4.6,4.9,17.5,10.5,40.8,25.4
LIFESPARK,316,4,2,0,0,2,50,25,75,0,1.5,1.3,2.3,4.3,3.3,2.9,0.6,44.6,47.3,,11,2.8,322452.69,80613.17,0,0,14.4,14.3,0.9,1.9,73.6,71.9,88.2,1.84,0.61,18.5,4.9,5.3,1.6,0.8,18.8,15.2,94.6,95.3,0,60.2,4,3.7,10.1,9.2,54.1,18.7
